score,text
2.0,"В соседнем номере поселили несколько человек, которые пили полночи, курили и орали. Так как стены картонные, спать я не мог. Позвонил на ресепшн в районе часа ночи, после того, как мне кто-то позвонил в номер на телефон, видимо как раз хотели попасть в соседний. Обещали прислать службу безопасности. Ничего в течение 40 минут не поменялось. Позвонил снова на ресепшн, мне сказали, что кто-то из СБ к ним приходил. Наверное, не очень убедительно. В общем, предложили мне переехать в другой номер, на что я предложил им переселить куда-нибудь соседей. Мне сказали, что номеров у них таких больше нет. Нормально выспаться не получилось. Сервис в Рязани вообще пока что сильно отстаёт."
5.0,"Очень-очень понравилось! Всё на высшем уровне! В номере очень чисто, туалетные принадлежности есть. Ещё есть халат классный, чайник с чашечками, кофе, чай , сахар, вода в бутылках, стаканы под воду, салфетки. На писменном столе есть настольная лампа для работы..... Всё продумано для гостей. А завтраки вообще просто изобилие еды на любой вкус и на любого привереду! В общем я в восторге!"
5.0,"Забронировали с друзьями для проживания. За сутки до прибытия позвонила администратор, уточнила все вопросы по заселению: нужно ли парковочное место, какой тип кроватей (большая двухместная, 2 одноместные) нам подходят, во сколько, ориентировочно, прибудем - очень приятный сервис! Заседание прошло быстро, доброжелательно - что очень важно! Сразу понравилось оформление лобби отеля: в витринах - ретро выставка фото аппаратуры, «скамейки с фонарями» - стилизация под старинную улицу, чистота. Очень приветливый персонал, объяснили как пользоваться лифтами: система заставила улыбнуться - в лифте вставил карточку, вытащил, нажал этаж - поехал, враг не проскочит 😀 На этажах, в номерах - чисто, приятно! Сами номера более, чем комфортные, современные! Бесплатный wi-fi работает стабильно"
3.0,"По проживанию все хорошо- удобные кровати, большие номера, наличие халатов/тапочек/косметических принадлежностей- все понравилось. В номерах и в гостинице чисто. Большие претензии к работе ресторана. Это не уровень отеля 4*, особенно у круглосуточного ресторана на 1-м этаже. Были там один раз- больше идти не захотелось: 1) посадили нас за Ненакрытый стол, отсутствовали салфетки, соль/перец, ни скатерти ни подтарельников также не было. Соль и салфетки принесли только после нашей просьбы, минут через 10 после подачи блюд, когда мы поняли, что самостоятельно работники ресторана этого нам не предоставят; 2) мы заказывали салат Цезарь, венские вафли, кусочек торта, два кофе и напиток из чёрной смородины. Подача блюд по времени совсем непонятная: первым принесли кусок торта, минут"
5.0,"Я в этот отель попал благодаря своей прекрасной подруге Натушке. На новогодние каникулы она согласилась поехать в тур ""От Оки до Волги"". Рязань входила в маршрут этого тура, а размещение было у нас в отеле Форум. Отель расположен довольно удобно, в тихом районе, перед ним сквер. Рядом находится остановка общественного транспорта. Маршрутки и троллейбусы ходят довольно часто. За пять минут можно доехать до пешеходной Почтовой улицы, до Кремля чуть дольше. Пешком можно дойти до театра. Если повезет (будет спектакль) можно приобщиться к прекрасному. Номера большие. Есть все необходимое: от чайных наборов (чайник, чай, кофе, сахар) до банных халатов. В номере есть холодильник, телевизор с большим экраном, кондиционер. Очень понравились матрасы на кроватях. Бывают очень жесткие,"
4.0,"Были заминки при заселении: поменяли программу, оплату на Букинге пришлось отменять и оплатить снова, на рецепции образовалась очередь, так что на заселение ушёл ЧАС! Номер хороший, чай-кофе-чайник - отдельное спасибо. Завтрак просто нормальный, но с шампанским и куриным бульоном. Местоположение - далековато для пешего хода к туристическим местам притяжения, но в Рязани недорогое такси. В целом очень неплохой отель. Просьба к землянам: звукоизоляция в отелях не самая лучшая, помните об этом, если собираетесь громко смотреть ТВ всю ночь, пожалейте своих соседей. Или себя от утреннего скандала."
4.0,"отель неплохой, местами даже хороший.комплекатция номеров достаточная ( и соответствует звездам на башне кремля - шутка). вид из окна на промзону, что не мешало спокойно спать.. досаждал только кашель из соседнего номера. горничные и администраторы отзывчивы, ненавязчивы. первый отель в котором на завтрак была овсянка на воде (за последние лет так 10). для меня таки класс...вот только повар по утрам был не очень улыбчив (или после смены или он всегда так)..что не красило и так серое рязанское утро..смеркалось...и чтото дейставително происходит на кухне - по вечерам на ужин вместо терски подавали типа судака- наверно повар ваабще не знаком с рыбой и итальянской кухней...намазать все майонезом не значить как в италии.. для меня например, италия это оливковое масло, вяленый и"
5.0,"Хороший отель, достойный своих 4*. Приветливый персонал, очень чистые, ухоженные номера, разнообразные и вкусные завтраки, бесплатная охраняемая парковка. Очень понравился ресторан на первом этаже. Приятно, что он работает в круглосуточном режиме. Пришлось выезжать на работу рано утром, в 5-00 утра. Т.к. завтрак в отеле проходит с 7-00, мне накрыли его в ресторане к 04.30. Спасибо большое персоналу за внимание, заботу и теплый прием!"
5.0,"Останавливалась в данном отеле в период моей двухдневной командировки. В первую очередь, хочу выразить благодарность всему персоналу отеля за их работу и гостеприимство. Из главных достоинств можно выделить: чистые уютные номера, где есть всё необходимое для комфортного проживания, вкусные завтраки, бесплатная охраняемая парковка. Замечательно оформлен сам отель с прилегающей к нему территорией. Также хочу отметить удобное расположение в тихом зелёном районе города, где главные достопримечательности находятся всего в 20 минутах пешей прогулки."
5.0,"Останавливаюсь в этом отеле не в первый раз и не перестаю удивляться душевности персонала, атмосфере и качеству обслуживания! Хочется отметить удобное расположение. Достаточно приемлимые цены и при этом в номере есть все необходимое( холодильник, телевизор, кондиционер,халаты, тапочки,полотенца, банные принадлежности и тд). Очень красиво оформлены холл и парковая зона. Неплохой бар с приятными ценами и большим ассортиментом. Завтрак уже входит в стоимость проживаниям и каждый день радует своим богатым ассортиментом шведского стола. В такое место хочется возвращаться снова и снова!"
4.0,"Прожил неделю в этом отеле. Уютный, доброжелательное обслуживание, приветливый персонал. Питание, уборка нормальные. Хорошее расположение. Заказывал заранее,все договоренности были соблюдены. Рекомендую."
5.0,"В Рязани были проездом, отель бронировали заранее через известный сайт - порадовал рейтинг, много хороших отзывов. Ожидания от отеля абсолютно оправдались. Первое впечатление - все чисто, приятно пахнет в холле, красивая летняя веранда, которая выходит во двор отеля, где есть фонтанчик и лавочки, очень уютно. В номере - чисто, мебель, сантехника - все блестит. С утра на завтраке было достаточно много народу, но мы не испытали неудобств, выбор блюд - на любой вкус, и мясные блюда, и сырники, и блины, и выпечка. Мне кажется, есть все, что нужно. Общее впечатление - очень хорошее"
5.0,"Останавливалась в этом отеле, будучи в командировке, остались исключительно положительные впечатления. Атмосфера в холле - как в европейском отеле хорошего уровня. В номерах все чисто, не придраться, убирают качественно, всегда вода, все необходимые принадлежности постоянно докладывают без напоминаний. Завтрак можно сравнить с обедом - выбор очень разнообразный, и для постящихся тоже можно было найти, что покушать, что очень приятно. Кофе, кстати, зерновой, тоже очень неплохой. Персонал весь улыбчивый. В общем, мне было приятно там проживать, комфортно, ничего не напрягало. Обязательно выберу этот отель снова, когда возникнет необходимость."
5.0,"Замечательный отель, приветливый персонал, номер чистый, огромный (Дабл Комфорт), есть чайник, вкусный и разнообразный завтрак (даже перебор, как будто это полноценный обед), рядом парк, ходили в театр кукол - в полном восторге."
2.0,"Пролог: это обзор человека, который довольно часто бывает в командировках, так что часто ночует в гостиницах - и не только российских. Поэтому оценка выставлена в сравнении с другими гостиницами. Человеку, который в поездках бывает редко, думаю, отель может даже понравится. Плюсы: 1. Бесплатная охраняемая парковка 2. В номерах тепло и чисто 3. В ванной есть халат и 4 полотенца. А также фен, зубной набор и прочие мыльно-рыльные 4. В номере есть мини-чайник, телевизор, холодильник (для включения которого нужно кого-то там вызвать), сейф, кондиционер 5. В отеле есть круглосуточный ресторан, спа (мне прямо интересно, кто пользуется услугами спа в посредственных рязанских отелях), рум-сервис. 6. Завтрак. Он разнообразен: большой выбор блюд, есть йогурты, фрукты, овощи,"
5.0,"Были с семьей на новый 2019 год, с 30 декабря по 4 января. Отель находится в довольно тихом месте недалеко от одной из магистральных улиц города. Перед отелем автомобильная стоянка, что было очень удобно для нас. Номер очень понравился, отличная спальня с большой и новой кроватью, мебель вся современная, на очень хорошем уровне. Санузел вообще потрясающий, кроме того администрация не жалеет для гостей шампуней, гелей для душа, наборов для гигиены зубов и т.п. Убирают номера очень чисто и тактично. Заказывали в один из дней финскую сауну, комплекс большой, новый, со всем необходимым. Отлично отдохнули. Некоторым минусом можно считать завтраки. Лично мне было нормально, но для четырех звезд, как мне думается, был бы более уместен чуть более богатый выбор на шведском столе, чуть"
4.0,"Посетили семьёй в первых числах января 2019. Отель находится практически в центре. Вежливый внимательный русскоязычный персонал. Бар на первом этаже работал всю ночью. Интерьеры в гостинице выполнены на высоком европейском уровне, очень реактивно в хорошем смысле этого слова. Приятно, когда заказчик не экономит на труде художников -оформителей. Приятно порадовало, что в номере предусмотрен электрический чайник в виде чайной станции с сахаром, пакетиками чая , и печеньями-бизе. Халат,тапочки, мыло. шампунь - всё есть. Борщ на первом этаже - соответствует лучшим мировым стандартам. Серьёзно. Единственно, что не совсем понравилось -это то, что шведский стол представлен в каких-то некрасивых, морально устаревших лотках. Пора их сменить-заменить. Стоянка для автомобилей"
4.0,"И да и нет. Что понравилось: сервис, кофе на завтрак, размер комнат и кроватей, тренажерный зал, возможность поужинать с дороги. Не понравилось: непроветриваемый запах химии на 6-м этаже в номере и коридорах. В номере на 11-м окна, которые толком не открыть, при том что там жарко. Ресторан на первом ок, но не все блюда. Кое что жирное или пережаренное. Завтрак на втором- там как-то всё надо перетряхнуть и обновить. Вывод - этих денег стоит, но есть что улучшить."
3.0,"В самом отеле чисто, убирают хорошо. НО! Завтрак - просто кошмар, ужасно! Не пойму куда смотрит администрация?! Всё не свежее, приготовлено не понятно из чего... Даже яичницу не могут нормально подарить, такое ФУ у них выходит... Кровать - вроде бы большая, но состоит из двух половинок, матрас не цельный - спать не удобно. Так же не понятно почему в номере два маленьких одеяло, но кровать то одна, большая... где тут логика?!.. Территориально расположен нормально. Сама территория ухожена, фонтаны, приятно смотреть."
5.0,"Очень хороший отель. Гостеприимный персонал. Уютно, красиво. Номер, просто огромный. Чистый и большой санузел. Халаты и гигиенсредства, а так же чайная станция – все на высшем уровне. Комфортабельно и удобно человеку с ограниченными возможностями. Прекрасное кафе на первом этаже и собственная замечательная кондитерская. Рекомендую!"
5.0,Хорошее расположение. Персонал очень внимательный. Номер просторный. Кровати удобные. Территория отеля хорошая. Есть своя парковка. Завтраки впечатляют в хорошую сторону. Из недостатков: очень пыльный ковролин и слабая работа вентиляции в ванной комнате. В целом отель вполне соответствует заявленному уровню.
5.0,"В составе экспедиционной группы в апреле посетили Рязань. Сразу поехали в отель, нас быстро заселили. Жил в двухместном номере, места в нем очень мало, но номер был лишь точкой ночлега, так что проблем не возникло. В номере удобная чайная станция, есть фен. Убираются ежедневно, что даже становится назойливым, полотенца и постельное белье меняют. В кафе на 1 этаже предлагают прекрасный борщ с вишней - одно из украшений поездки. В целом, впечатления только хорошие. Если вернусь в Рязань - остановлюсь в ""Форуме"""
5.0,"Проживал в одноместном номере эконом. Номер по габаритам конечно маловат. Но все необходимое в номере было. Есть телевизор, холодильник. Сначала заселили в один номер слева в нем было очень жарко, но по просьбе быстро поменяли на другую сторону. В этрм номере было попрохладней. Уборка ежедневно. Мебель достаточно хорошая. Неплохая сантехника. Каждый день докладывали косметические наборы. Питание: завтраки могут сказать достаточно хорошие и разнообразные. Вечером внизу работает бар и ресторан. Цены на блюда очень даже гуманные. Блюда вкусные, даже очень. Мы даже ничего не искали в городе и ужинали не отходя от кассы. Персонал приветливый. Имеется небольшой спортзал и можно утром побегать на дорожке или в небольшом рядом рачположенном сквере. Отель в целом очень понравился"
5.0,"Спасибо руководству отеля и всему персоналу за великолепный отдых. Размещались на 11 этаже. Номер просторный, удобный, чистый. В номере хорошая звукоизоляция. Завтраки - шведский стол, все было свежее, нормальный выбор. Для путешествующих на авто, есть паркинг.Подходит для многодневного проживания - удобно, тихо и чисто."
4.0,"1й раз мне отель совсем не понравился. Скользкая вода и шум промзоны за окном. В этот 2й впечатление лучше. Может,потому что зимой не пришлось с открытым окном спать. Может, при данности проживания втечение 2х недель,постаралась сосредоточиться на плюсах. Итак: окно без вариантов на промзону.но вытяжкой с кухни не пахнет. Уборка каждый день. Не всегда до кристалльности ковролин.но он не затерт.не в пятнах.и не пахнет пылью (в отличие от штор). Вода,чем прохладнее,тем менее скользкая. Зато волосам мягкость воды понравилась. Удобство -тихий минихолодильник и электрочайник! Чашка,ложка,стакан. Питьевая вода и чай пополняются😊 так же как и тапочки (одноразовые) и салфетки и банные принадлежности.коих вдоволь. Фен. 2 подушки. В этот заезд и пониже была (для шеи удобнее). Плюс К"
3.0,"Вполне обыкновенный отель для своей стоимости. Нормальные номера. Завтраки: на 3. Обслуживание тоже на 3. Ещё до окончания времени завтрака , начали собирать и относить еду на кухню. Не самый плохой вариант, но и не самый лучший в городе Рязань."
4.0,"Все отлично, чисто, хотя вид на пром зону, но ок на пару дней деловой поездки. Достойное питание, но очень долгое обслуживание за обедом: при небольшом количестве клиентов на обед уходило до часа, на подачу салатов уходило 20 минут. Официанты были заняты обсуждением каких то вопросов с барменом, не обращая внимания на клиентов. Считаю это не приемлемо для бизнес обеда. На завтраке параллельно был наплыв молодых людей судя по всему из какой то спортивной сборной, после которых оставалась массово посуда на столах, при всем этом официанты проводили время за беседами с администратором на входе ресторана вместо уборки столов."
5.0,"Прожили в отеле 6 ночей- семьей из трех человек. Двое взрослы плюс ребенок 5 лет. Чистые комнаты и отличные матрасы с подушками Вам гарантированы. (для меня это больная тема - качество кроватей в отеле, и чистота, я высыпалась все шесть ночей).Халаты и полотенца соответствуют уровню отеля по звездам, что очень приятно- держат марку. В номере есть большое зеркало при входе в полный рост еще один плюс, и достаточно места что бы разложить вещи по шкафам ( шкафы тоже чистые) плюс ,зубные щетки мыло и т.д. тоже есть. В стоимость номера входит завтрак плюс тренажёрный зал wi-fi. Зал сам компактный, хватает места для тренировок (пользовалась) Завтрак в первый день при заселении очень порадовал: было достаточное количество блюд : две каши на выбор например, творог, яйца варенные,"
4.0,"Провел в отеле 1 ночь в октябре. За это время оценить по достоинству обслуживание в отеле очень сложно. Но могу подчеркнуть отсутствие отрицательных впечатлений. Сам номер был хороший, а завтрак вкусный"
1.0,"В отеле столкнулись с хамством охранника, который на 2 день отдыха по возвращении с прогулки вдруг отказался пускать наш автомобиль на парковку, опасаясь, что мы оставим чёрные полосы и нанесём вред их репутации(!!!), так как рядом шла укладка асфальта, сказал, что ему все равно, куда я дену машину и что в салоне 2 маленьких детей. Тогда я оставила автомобиль и пошла укладывать спать детей, он угрожал, что эвакуирует мой автомобиль за мой счёт. Подобного хамского обращения не встречали ни в 1 отеле страны, ни в 1 стране! Тут беспредел."
5.0,"Останавливались с друзьями и были приятно удивлены таким уровнем отеля в этом небольшом провинциальном городке. Быстро нашли место для парковки, несмотря на то, что машин было предостаточно. Быстро заселили, хотя приехали ночью. Утром разбудили- сделали все так, как удобно нам, гостям. Обстановка в номере очень атмосферная: и покрывала в цвет обоев, и чайники, и халаты, и уборка была по расписанию. У отеля своя небольшая прогулочная зона и фонтан, рядом скверик и только потом центральная улица. Ночевать здесь было очень приятно, тихо и спокойно. Обязательно приедем еще!"
3.0,"В рамках тур поездки останавливалась на одну ночь. Номер чистый, уютный, полноценная одноместная кровать. Подушки не очень правда (мячики какие то). Предоставляются халат, тапочки, одноразовые шампунь, гель д/д, зубная щетка и паста (за качество всего этого не скажу, не пользовалась - все своё было). В общем все неплохо, но окно номера выходило на какую то промзону, где что то достаточно громко гудело (слышно даже при закрытом окне). И второй момент. Невозможно пользоваться кондиционером. Шумит просто жутко. Мне было не актуально, т.к. погода была прохладная, а вот летом если жарко, то доставит неудобство. Завтрак был неплохой, хотя выбор небогатый для 4-х звезд."
5.0,"Если вы путешествуете и заехали в город Рязань, советую остановиться в этом отеле. Номера уютные, чистые. Предоставляют тапочки, по 4 полотенца на человека, одноразовые упаковки шампуня, бальзама, мыло, зубную пасту и сетку. В номере есть чайник, кофе и чай. Постель с комфортным матрасом"
5.0,"Спасибо администрации и обслуживающему персоналу за чистоту, качество сна и отдыха, и конечно за завтраки.Отель свои 4 звезды полностью оправдывает, я бы и пятую Вам подарила, если бы это было в моих силах. Пожалуй один из лучших отелей, где мы останавливались, а путешествуем мы много. В номере чайник. Чай, кофе, сахар, все есть. В ресторане гуляла свадьба, а в номере тишина. Очень удобные матрасы. Еще раз СПАСИБО!"
5.0,"Путешествуя по городам России (тур от Оки до Волги - жаль нет возможности написать о самом туре!), остановились на одну ночь в этом отеле. Очень понравилось! Приветливый персонал, быстрое обслуживание в ресторане. Номера чистые и уютные. Большое всем спасибо!"
5.0,"Были в командировке, жили в одноместных номерах. Очень все хорошо, чисто, простенько. Есть небольшой тренажерный зал, который, кажется, работает до 8 или 9 вечера, но меня пускали и позже. Завтрак обычный, но без проблем шли навстречу и накрывали нам отдельно его гораздо раньше, чем время начала. Для глубинки это нечастое явление)"
4.0,"Ставлю твёрдую четвёрку. К сожалению, в номерах розетки находятся только у письменного стола, приходилось просить персонал принести в номер удлинитель(. Завтрак немного скуден, но, в целом хватает насытиться на пару-тройку часов. В остальном: отзывчивый персонал, приехали раньше времени заезда, поселили в течении пяти минут. Уборка в номере очень качественная, каждый день меняют полотенца. Горячая вода в наличии, наборы мыла, шампуня, зубной щётки/пасты в наличии, номера чистые, всегда есть минеральная вода. Спасибо большое персоналу. Сам отель чистый, думаю, что не задумываясь остановлюсь в нём ещё раз."
